"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","ZhviRecordCnt","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI","BottomMonth","BottomQuarter","BottomZHVI","PctFallFromPeakToBottom"
2014-02-28,"Hallmark-Camelot","TX","Dallas-Fort Worth","Tarrant","Fort Worth",1688,86700,0.00347222222222222,0.0152224824355972,0.117268041237113,-0.00499911437311851,-0.00623947887319942,2094,"2006-09","2006-Q3",104900,-0.17349857006673,"2002-11","2012-11","2012-Q4",75100,-0.284080076263108
2014-02-28,"Meadow Wood","CO","Denver","Arapahoe","Aurora",1689,177300,-0.00112676056338028,0.00282805429864253,0.0648648648648649,0.0264547967995852,-0.00483238135008024,2395,"2005-04","2005-Q2",191200,-0.0726987447698745,"2001-05","2012-02","2012-Q1",145900,-0.236924686192469
2014-02-28,"Hosford-Abernethy","OR","Portland","Multnomah","Portland",1690,417700,0.00384522951213651,0.0126060606060606,0.0776573787409701,0.0286399420172261,0.0442525561663771,2312,"2014-02","2014-Q1",417700,0,"2014-02",,,,
2014-02-28,"Hale","CO","Denver","Denver","Denver",1691,325300,0.00339296730413325,0.00463248919085855,0.0927107826671146,0.0499843973784417,0.0277107184511589,2769,"2014-02","2014-Q1",325300,0,"2014-02",,,,
2014-02-28,"Elliot Park","MN","Minneapolis-St Paul","Hennepin","Minneapolis",1692,229100,-0.00693541395752059,-0.0184233076263925,0.0465966194609411,-0.00734306397513751,0.000921281316968559,817,"2007-05","2007-Q2",278700,-0.177969142447076,"2004-10","2012-04","2012-Q2",200100,-0.282023681377826
2014-02-28,"South Ironbound","NJ","New York","Essex","Newark",1693,278800,0.0141869770825755,0.0387481371087928,0.0453693288338958,-0.0548762780987999,-0.0244209728808861,550,"2007-04","2007-Q2",492600,-0.434023548518067,"2002-07","2012-06","2012-Q2",254700,-0.482947624847747
2014-02-28,"Summit Hill","MN","Minneapolis-St Paul","Ramsey","Saint Paul",1694,375200,-0.00053276505061268,0.00133440085401655,0.106458271896196,0.0274419118239067,0.00270505892843698,1579,"2006-10","2006-Q4",422500,-0.111952662721893,"2004-10","2011-09","2011-Q3",316700,-0.250414201183432
2014-02-28,"Duncan Park","KY","Lexington","Fayette","Lexington",1695,71300,-0.0206043956043956,-0.0667539267015707,-0.0704041720990874,0.0286787682534253,0.0168975986481501,1954,"2013-09","2013-Q3",80600,-0.115384615384615,"2012-05","2014-02","2014-Q1",71300,-0.115384615384615
2014-02-28,"Dietz","AZ","Tucson","Pima","Tucson",1696,131900,0.00380517503805175,0.0208978328173375,0.11590524534687,-0.0289886904165357,0.0011443953442698,2024,"2006-05","2006-Q2",198900,-0.336852689793866,"2004-05","2012-05","2012-Q2",106600,-0.464052287581699
2014-02-28,"Coronado","TX","El Paso","El Paso","El Paso",1697,137900,-0.00648414985590778,-0.019203413940256,0.0199704142011834,0.00515491241816313,0.0369899940804825,1760,"2011-01","2011-Q1",157900,-0.126662444585181,"2009-04","2013-01","2013-Q1",134100,-0.150728309056365
2014-02-28,"Stonewood","CA","Stockton","San Joaquin","Stockton",1698,189600,0.000527704485488127,0.0112,0.235984354628422,0.0310747606073944,-0.0279345401183303,2065,"2006-03","2006-Q1",398800,-0.52457372116349,"2002-05","2012-02","2012-Q1",130900,-0.671765295887663
2014-02-28,"Back Creek Church Road","NC","Charlotte","Mecklenburg","Charlotte",1699,145800,0.00206185567010309,0.00969529085872576,0.0681318681318681,-0.0174313754101806,-0.0055212935953467,3177,"2007-04","2007-Q2",171600,-0.15034965034965,"2002-04","2012-08","2012-Q3",128900,-0.248834498834499
2014-02-28,"Bayshore Beautiful","FL","Tampa","Hillsborough","Tampa",1700,343400,0.00615294462349839,0.0362100181050091,0.145430286857905,0.0265030209822152,0.0224982069398438,3250,"2006-03","2006-Q1",437200,-0.214547118023788,"2005-02","2010-02","2010-Q1",257600,-0.410795974382434
2014-02-28,"Kimber-Gomes","CA","San Francisco","Alameda","Fremont",1701,1125200,0.00500178635226867,0.0182805429864253,0.134045555331586,0.0602308292886657,0.0445176919270409,2375,"2014-02","2014-Q1",1125200,0,"2014-02",,,,
2014-02-28,"Kentfield","CA","Stockton","San Joaquin","Stockton",1702,124900,0.0154471544715447,0.0611724723874257,0.398656215005599,0.00274463283349169,-0.0425843704644888,686,"2006-02","2006-Q1",319300,-0.608831819605387,"2001-06","2012-05","2012-Q2",78300,-0.754776072658941
